,Encoder,Gyro,Target,duty
182,-3.867188,-4.014575,-26.754162,66
183,-2.8125,-3.985278,-27.926941,69
184,-2.109375,-3.982837,-29.800404,74
185,-4.570312,-4.090259,-29.320351,73
186,-4.570312,-4.067065,-28.817104,72
187,-5.273438,-4.071948,-27.615616,69
188,-5.273438,-4.108569,-26.450748,66
189,-4.921875,-4.028003,-25.556877,63
190,-3.515625,-4.009692,-26.050945,65
191,-6.328125,-3.931567,-23.654388,59
192,-6.679688,-3.885181,-20.859882,52
193,-6.679688,-3.770435,-17.95063,45
194,-5.273438,-3.732593,-16.409786,41
195,-5.625,-3.726489,-14.511276,36
196,-5.273438,-3.742358,-12.980198,32
197,-3.515625,-3.809497,-13.274071,33
198,-4.570312,-3.876636,-12.580395,31
199,-2.8125,-3.93523,-13.703125,34
200,-2.109375,-4.048755,-15.642506,38
201,-5.273438,-4.10979,-14.478859,36
202,-2.460938,-4.147632,-16.165554,40
203,-3.515625,-4.252612,-16.902542,42
204,-1.40625,-4.297778,-19.794071,49
205,-3.164062,-4.325854,-20.955864,52
206,-5.625,-4.362475,-19.69334,49
207,-4.570312,-4.391772,-19.514801,48
208,-2.460938,-4.38811,-21.441975,53
209,-5.273438,-4.347827,-20.516365,51
210,-3.164062,-4.413745,-21.766048,54
211,-3.867188,-4.384448,-22.28331,55
212,-0.703125,-4.357593,-25.937778,64
213,-3.867188,-4.383227,-26.453819,66
214,-3.515625,-4.423511,-27.361706,68
215,-2.8125,-4.483325,-29.032532,72
216,-4.570312,-4.532153,-28.994373,72
217,-5.273438,-4.540698,-28.261635,70
218,-3.515625,-4.649341,-29.395351,73
219,-5.273438,-4.601733,-28.723648,71
220,-5.976562,-4.601733,-27.34882,68
221,-5.625,-4.569995,-26.293816,65
222,-6.679688,-4.530932,-24.145061,60
223,-6.679688,-4.480884,-21.946259,54
224,-11.601562,-4.408862,-14.753559,37
225,-8.4375,-4.344165,-10.660225,26
226,-5.625,-4.322192,-9.357417,23
227,-5.625,-4.294116,-8.026533,20
228,-5.976562,-4.252612,-6.302583,15
229,-4.921875,-4.264819,-5.645527,14
230,-5.273438,-4.292895,-4.664985,11
231,-4.921875,-4.298999,-4.042109,10
232,-5.976562,-4.322192,-2.387738,6
233,-5.976562,-4.378345,-0.78952,2
234,-2.109375,-4.399096,-3.079242,7
235,-2.460938,-4.407641,-5.025946,12
236,-2.109375,-4.465014,-7.381585,18
237,0,-4.478442,-11.860027,29
238,-0.351562,-4.524829,-16.033295,39
239,0,-4.568774,-20.60207,51
240,-1.40625,-4.617602,-23.813423,59
241,-1.054688,-4.645679,-27.404415,68
242,-1.40625,-4.70061,-30.698776,76
243,-2.8125,-4.720141,-32.606419,81
244,-5.976562,-4.709155,-31.339012,78
245,-3.867188,-4.699389,-32.171215,80
246,-5.273438,-4.684741,-31.58252,78
247,-6.328125,-4.657886,-29.912281,74
248,-5.273438,-4.620044,-29.258888,73
249,-5.976562,-4.604175,-27.886501,69
250,-5.625,-4.61272,-26.874222,67
251,-5.976562,-4.624927,-25.522587,63
252,-7.382812,-4.610278,-22.750053,57
253,-4.21875,-4.640796,-23.1721,57
254,-7.03125,-4.64812,-20.788971,52
255,-7.03125,-4.585864,-18.343586,46
256,-4.570312,-4.600513,-18.373787,45
257,-6.679688,-4.577319,-16.27142,40
258,-3.515625,-4.543139,-17.298935,43
259,-2.460938,-4.52605,-19.364048,48
260,-6.679688,-4.455249,-17.13961,42
261,-8.085938,-4.441821,-13.495495,33
262,-5.273438,-4.421069,-12.643127,31
263,-6.328125,-4.403979,-10.718983,26
264,-2.8125,-4.356372,-12.262855,30
265,-2.460938,-4.3698,-14.171717,35
266,-3.515625,-4.33562,-14.991711,37
267,0,-4.331958,-19.323669,48
268,-2.8125,-4.328296,-20.839466,52
269,-2.8125,-4.328296,-22.355263,55
270,-2.460938,-4.309985,-24.204311,60
271,-5.273438,-4.298999,-23.229874,58
272,-3.164062,-4.289233,-24.355045,60
273,-1.757812,-4.28313,-26.880363,67
274,-3.515625,-4.252612,-27.617352,68
275,-3.867188,-4.230639,-27.980804,69
276,-3.164062,-4.212329,-29.029072,72
277,-3.515625,-4.17937,-29.692818,74
278,-4.570312,-4.148852,-29.271358,73
279,-5.976562,-4.131763,-27.426559,68
280,-4.921875,-4.10979,-26.614475,66
281,-4.21875,-4.098804,-26.49453,66
282,-3.515625,-4.07561,-27.054516,67
283,-5.273438,-4.062182,-25.843262,64
284,-5.273438,-4.060962,-24.630787,61
285,-5.273438,-4.048755,-23.406105,58
286,-4.570312,-4.07561,-22.911404,57
287,-5.273438,-4.043872,-21.681839,54
288,-7.382812,-4.05852,-18.357548,46
289,-5.273438,-4.074389,-17.158501,42
290,-5.625,-4.102466,-15.635967,39
291,-2.460938,-4.087817,-17.262848,43
292,-1.757812,-4.100024,-19.605061,48
293,-4.570312,-4.074389,-19.109138,47
294,-5.273438,-4.095141,-17.930843,44
295,-4.570312,-4.080493,-17.441025,43
296,-2.109375,-4.042651,-19.374302,48
297,-4.921875,-4.025561,-18.477989,46
298,-4.570312,-3.975513,-17.88319,44
299,-2.8125,-3.980396,-19.051086,47
300,-2.109375,-3.952319,-20.894032,52
301,-5.625,-3.931567,-19.2006,48
302,-3.867188,-3.896167,-19.22958,48
303,-4.921875,-3.893726,-18.201431,45
304,-2.8125,-3.897388,-19.28632,48
305,-3.515625,-3.898608,-19.669304,49
306,-5.976562,-3.870532,-17.563274,44
307,-3.164062,-3.858325,-18.257538,45
308,-4.921875,-3.857105,-17.192768,43
309,-4.21875,-3.835132,-16.809151,42
310,-4.921875,-3.841235,-15.728512,39
311,-5.625,-3.799731,-13.903244,34
312,-3.515625,-3.815601,-14.20322,35
313,-5.273438,-3.792407,-12.722191,31
314,-3.164062,-3.805835,-13.363964,33
315,-3.515625,-3.813159,-13.661499,34
316,-4.570312,-3.804614,-12.895802,32
317,-3.867188,-3.83269,-12.861305,32
318,-3.515625,-3.83147,-13.177151,32
319,-4.21875,-3.833911,-12.792313,32
320,-5.976562,-3.846118,-10.661869,26
321,-3.867188,-3.84856,-10.643241,26
322,0,-3.852222,-14.495462,36
323,-5.273438,-3.836353,-13.058378,32
324,-3.164062,-3.830249,-13.724566,34
325,-5.625,-3.807056,-11.906622,29
326,-1.757812,-3.792407,-13.941216,34
327,-3.515625,-3.798511,-14.224102,35
328,-1.757812,-3.766773,-16.233063,40
329,-3.164062,-3.753345,-16.822346,42
330,-2.460938,-3.753345,-18.114754,45
331,-1.757812,-3.703296,-20.060238,50
332,-1.054688,-3.677661,-22.683212,56
333,-3.515625,-3.644702,-22.81229,57
334,-3.867188,-3.619067,-22.564171,56
335,-3.515625,-3.594653,-22.6432,56
336,-3.515625,-3.577564,-22.705139,56
