,Encoder,Gyro,Target,duty
482,-1.757812,-2.242114,-10.902291,27
483,-1.757812,-2.233569,-11.378048,28
484,-3.515625,-2.229907,-10.09233,25
485,-2.109375,-2.222583,-10.205538,25
486,-0.703125,-2.207935,-11.710347,29
487,2.460938,-2.203052,-16.374336,40
488,0.703125,-2.189624,-19.267086,47
489,-0.351562,-2.187183,-21.102707,52
490,-1.054688,-2.181079,-22.229099,55
491,-2.109375,-2.157886,-22.277611,55
492,-1.40625,-2.149341,-23.020702,57
493,-1.054688,-2.137134,-24.103149,60
494,-1.40625,-2.132251,-24.829151,62
495,-4.921875,-2.124927,-22.032204,55
496,-1.054688,-2.117603,-23.095119,57
497,-1.40625,-2.099292,-23.788162,59
498,-2.8125,-2.100513,-23.076176,57
499,-4.921875,-2.100513,-20.254814,50
500,-2.8125,-2.087085,-19.5294,48
501,-3.867188,-2.087085,-17.749298,44
502,-4.21875,-2.071216,-15.601765,39
503,-4.570312,-2.06145,-13.092903,32
504,-2.109375,-2.046802,-13.03033,32
505,-4.570312,-2.037036,-10.497053,26
506,-2.460938,-2.016284,-10.0524,25
507,-1.054688,-2.001636,-10.999348,27
508,-0.351562,-1.986987,-12.634772,31
509,-1.757812,-1.971118,-12.848078,32
510,-0.703125,-1.958911,-14.103864,35
511,0,-1.943042,-16.046906,40
512,2.109375,-1.934497,-20.090778,49
513,-1.054688,-1.917407,-20.953499,52
514,0,-1.913745,-22.867245,57
515,-1.40625,-1.9052,-23.366196,58
516,-1.054688,-1.88811,-24.199619,60
517,-2.460938,-1.877124,-23.615807,59
518,-0.703125,-1.863696,-24.776379,61
519,-2.109375,-1.855151,-24.522156,61
520,-3.867188,-1.872241,-22.52721,56
521,-2.109375,-1.846606,-22.264442,55
522,-4.570312,-1.838062,-19.532192,48
523,-3.515625,-1.834399,-17.850967,44
524,-2.460938,-1.831958,-17.221989,43
525,-2.8125,-1.81853,-16.22802,40
526,-4.21875,-1.797778,-13.807049,34
527,-2.460938,-1.788013,-13.134124,32
528,-2.109375,-1.784351,-12.809099,32
529,-2.109375,-1.777026,-12.47675,31
530,-1.757812,-1.762378,-12.481316,31
531,-2.8125,-1.74773,-11.416545,28
532,-0.703125,-1.741626,-12.455046,31
533,-2.460938,-1.735523,-11.72963,29
534,-0.351562,-1.73186,-13.109928,32
535,1.054688,-1.714771,-15.879386,39
536,-1.757812,-1.706226,-15.827799,39
537,-1.40625,-1.717212,-16.138762,40
538,-1.40625,-1.706226,-16.438738,41
539,-0.351562,-1.701343,-17.788519,44
540,-0.703125,-1.701343,-18.786737,46
541,0.703125,-1.698901,-21.188765,52
542,-0.351562,-1.698901,-22.536104,56
543,-2.8125,-1.700122,-21.423727,53
544,-2.8125,-1.691577,-20.302805,50
545,-3.867188,-1.692798,-18.128416,45
546,-1.054688,-1.702564,-18.776293,46
547,-3.867188,-1.694019,-16.603125,41
548,-3.867188,-1.694019,-14.429956,36
549,-4.21875,-1.697681,-11.908888,29
550,-1.757812,-1.700122,-11.851197,29
551,-4.570312,-1.685474,-8.966358,22
552,-1.757812,-1.690356,-8.898902,22
553,-3.164062,-1.685474,-7.420313,18
554,0.351562,-1.67937,-9.451245,23
555,-3.515625,-1.685474,-7.621094,19
556,-2.109375,-1.657398,-7.169116,17
557,-0.703125,-1.66228,-8.128271,20
558,-0.351562,-1.657398,-9.434106,23
559,0,-1.648853,-11.082958,27
560,-1.054688,-1.648853,-11.677123,29
561,-1.40625,-1.634204,-11.905077,29
562,-0.703125,-1.634204,-12.836156,32
563,-3.515625,-1.641528,-10.962059,27
564,-0.703125,-1.641528,-11.900462,29
565,-2.109375,-1.639087,-11.430174,28
566,-1.054688,-1.648853,-12.024339,30
567,0.351562,-1.64519,-14.021091,34
568,-2.8125,-1.651294,-12.859885,32
569,0.703125,-1.652515,-15.215525,37
570,-2.109375,-1.637866,-14.744017,36
571,-1.757812,-1.639087,-14.625292,36
572,-3.515625,-1.64397,-12.753637,31
573,-3.867188,-1.640308,-10.526757,26
574,-1.757812,-1.64519,-10.414135,26
575,-2.8125,-1.636646,-9.23828,23
576,-2.8125,-1.639087,-8.064867,20
577,-2.460938,-1.636646,-7.240575,18
578,-1.054688,-1.628101,-7.813988,19
579,0,-1.625659,-9.439647,23
580,-1.054688,-1.630542,-10.015501,25
581,-2.109375,-1.629321,-9.535447,23
582,-1.757812,-1.619556,-9.39719,23
583,0,-1.623218,-11.020408,27
584,-3.867188,-1.611011,-8.764231,22
585,-1.757812,-1.606128,-8.612546,21
586,-0.351562,-1.607349,-9.868332,24
587,-1.054688,-1.598804,-10.412448,25
588,-0.703125,-1.600024,-11.309347,28
589,0,-1.600024,-12.909371,32
590,1.757812,-1.595142,-16.262325,40
591,1.054688,-1.5927,-18.909714,47
592,-3.515625,-1.582935,-16.977024,42
593,-1.054688,-1.576831,-17.499168,43
594,-3.164062,-1.573169,-15.908276,39
595,1.054688,-1.579273,-18.542236,46
596,0.351562,-1.576831,-20.470631,51
597,-3.164062,-1.580493,-18.887062,47
598,-3.515625,-1.579273,-16.95071,42
599,-5.976562,-1.57561,-12.549759,31
600,-2.8125,-1.57439,-11.311648,28
601,-3.867188,-1.573169,-9.01763,22
602,-1.40625,-1.570728,-9.182107,22
603,-3.164062,-1.569507,-7.587551,19
604,-1.40625,-1.568286,-7.749587,19
605,0.703125,-1.568286,-10.020998,24
606,-2.460938,-1.573169,-9.133229,22
607,-1.40625,-1.570728,-9.297707,23
608,-1.40625,-1.560962,-9.452418,23
609,-1.40625,-1.560962,-9.60713,24
